# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# all-products 2024 graph from wtw_agg_2017_2024.csv; strength = exports + imports
iso3,agg_strength_kusd,agg_strength_rank,agg_betweenness,agg_betweenness_rank,agg_eigenvector
MWI,4254337.731,157,0.0,68,0.000284
HTI,4223557.119,158,0.0,68,0.000715
SOM,3712819.691,159,0.0,68,0.000373
SLE,3604356.218,160,0.0,68,0.000582
BMU,3348743.798,161,0.0,68,0.000485
SUR,3323038.89,162,0.0,68,0.000364
NER,3293743.581,163,0.0,68,0.000351
LSO,3131613.989,164,0.0,68,0.000202
NCL,3084083.259,165,0.0,68,0.000372
BRB,3021368.836,166,0.0,68,0.00037
RWA,2677501.022,167,0.0,68,0.000256
GRL,2571711.064,168,0.0,68,0.000166
SYC,2526638.025,169,0.0,68,0.000126
GMB,2251839.362,170,4e-05,53,0.00022
PRK,2237203.776,171,0.0,68,0.00056
PSE,2101890.083,172,0.0,68,0.000104
BLZ,2077291.783,173,0.0,68,0.000363
AND,1980616.158,174,0.0,68,9.6e-05
CUW,1954083.238,175,0.0,68,0.000307
BTN,1899000.05,176,0.0,68,0.000132
PYF,1702216.76,177,0.0,68,0.000175
SSD,1633125.425,178,0.0,68,0.000157
ABW,1445147.351,179,0.0,68,0.00026
LCA,1428164.316,180,0.0,68,0.000305
VGB,1256754.867,181,0.0,68,0.000188
SLB,1234950.088,182,0.0,68,0.000191
ATG,1219372.34,183,0.0,68,0.000213
CPV,1116916.72,184,0.0,68,5.3e-05
TLS,1115204.902,185,0.0,68,0.000113
CAF,1054921.117,186,0.0,68,8.6e-05
SXM,927882.146,187,0.0,68,0.000229
ERI,919604.538,188,0.0,68,0.000187
GUM,876626.196,189,0.0,68,6.3e-05
VUT,850258.342,190,0.0,68,8.8e-05
GNB,746565.588,191,0.0,68,4.7e-05
BES,735183.257,192,0.0,68,5.7e-05
WSM,705500.254,193,2e-05,58,6.7e-05
SMR,629593.471,194,0.0,68,4.5e-05
FLK,617895.647,195,0.0,68,3.2e-05
TCA,599914.321,196,0.0,68,0.000136
BDI,552227.63,197,0.0,68,4.4e-05
FSM,488789.118,198,0.0,68,6.1e-05
GRD,412229.55,199,0.0,68,6.7e-05
COM,402590.758,200,0.0,68,3.9e-05
VCT,389697.865,201,0.0,68,6.1e-05
KNA,334725.758,202,0.0,68,6.2e-05
TON,324842.999,203,0.0,68,3e-05
COK,298609.304,204,0.0,68,1.6e-05
KIR,296262.023,205,0.0,68,2.6e-05
DMA,293894.976,206,0.0,68,3.7e-05
ASM,289440.389,207,0.0,68,1.2e-05
NRU,262881.683,208,0.0,68,1.7e-05
BLM,249374.86,209,0.0,68,1.6e-05
AIA,231118.603,210,0.0,68,2.3e-05
STP,195729.582,211,0.0,68,1.1e-05
PLW,192121.421,212,0.0,68,2.5e-05
TUV,155796.758,213,0.0,68,1e-05
MNP,138278.163,214,0.0,68,8e-06
IOT,107786.503,215,0.0,68,4e-06
SHN,86032.357,216,0.0,68,9e-06
SPM,77211.485,217,0.0,68,8e-06
TKL,76770.013,218,0.0,68,3e-06
MSR,58617.6,219,0.0,68,1.1e-05
CXR,57258.246,220,0.0,68,4e-06
WLF,56698.048,221,0.0,68,2e-06
NIU,43407.834,222,0.0,68,3e-06
ATF,40476.033,223,0.0,68,3e-06
NFK,40014.688,224,0.0,68,1e-06
CCK,17362.22,225,0.0,68,2e-06
PCN,5098.451,226,0.0,68,0.0
