# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# layer = critical_minerals; HS6 codes (44): 250410,250490,280461,280469,280511,280512,280519,280530,280540,282520,282530,282540,282560,282580,284161,284169,284180,284190,284410,284420,284430,284440,284450,284610,284690,380110,380120,380130,380190,811212,811213,811219,811221,811222,811229,811251,811252,811259,811292,811299,850511,850519,850520,850590
exporter_iso3,importer_iso3,value_kusd
TWN,JPN,106627.555
CHN,KAZ,105387.557
KAZ,SWE,101736.741
KAZ,ROU,100757.075
DEU,SGP,100288.927
USA,MYS,99035.683
BRA,DEU,98962.65
NAM,KOR,97812.654
JPN,VNM,97357.325
SGP,CHN,97091.21
ITA,DEU,94946.137
DEU,AUT,93102.388
VNM,CHN,92831.281
BRA,CHN,89138.251
CHN,BRA,89114.551
TWN,CHN,89026.124
USA,ESP,88068.201
DEU,ROU,87212.475
JPN,DEU,86483.852
VNM,PHL,84290.911
DEU,NLD,82721.265
THA,JPN,82389.181
CHN,SWE,82304.254
CHN,BHR,81103.593
USA,TWN,79239.639
MYS,THA,78699.29
UKR,CAN,78333.056
FRA,ITA,77278.364
CHN,NOR,77096.346
DEU,CHE,73320.479
AUS,CHN,71708.128
POL,DEU,69519.869
CHN,CZE,69194.314
NOR,FRA,68466.044
ZAF,CAN,68157.861
TWN,USA,68070.739
DEU,ESP,66685.969
DEU,TWN,65598.161
KAZ,KOR,65267.543
RUS,FRA,64245.85
ZAF,CHN,63566.849
FRA,CHN,63434.437
RUS,CZE,62905.155
SGP,HKG,62246.394
USA,SGP,61585.943
ITA,USA,60715.274
CHE,DEU,60276.162
NOR,USA,60223.877
CHN,CHE,59214.206
JPN,FRA,58350.961
USA,DNK,57497.566
AUS,USA,56251.826
THA,USA,55746.726
NLD,BEL,55701.05
ESP,DEU,55537.739
FRA,RUS,55378.297
MYS,USA,54775.297
RUS,BRA,54553.047
AUT,DEU,54536.202
USA,FRA,54275.319
JPN,IDN,53896.964
BRA,GBR,53751.859
GBR,DEU,53486.554
AUS,FRA,53287.598
CAN,ROU,52750.447
CZE,DEU,52645.225
GBR,JPN,50003.542
DEU,HUN,48311.755
NOR,NLD,48142.525
LAO,THA,47867.925
ROU,DEU,47261.446
NAM,CAN,46916.938
DEU,IND,46613.829
CHL,USA,46595.738
FRA,BEL,46086.552
NZL,USA,45667.623
DNK,CHN,45396.136
CHN,QAT,44326.104
CHN,BEL,43665.755
JPN,IND,43447.105
BRA,JPN,42050.92
ESP,CHN,41972.73
ESP,GBR,41125.659
ISL,NLD,40795.529
USA,BEL,40653.331
IND,USA,40484.664
ITA,ESP,40402.531
NLD,ESP,39789.097
GBR,FRA,39644.359
CHN,DNK,39642.225
CHN,AUS,39601.024
PHL,CHN,39009.034
NLD,KOR,38094.043
CHN,SVN,37316.95
DEU,DNK,37276.389
BEL,DEU,35889.11
FRA,POL,35260.842
FRA,IND,35041.554
AUT,HUN,34912.704
DEU,BEL,34804.746
POL,USA,33770.086
PHL,KOR,33401.606
RUS,TUR,32890.408
ESP,FRA,32871.657
KOR,VNM,32540.002
DEU,TUR,32210.382
DEU,SVK,31952.919
FRA,ESP,31875.81
CHN,AUT,31608.349
RUS,NLD,31113.093
AUS,JPN,30570.743
CHE,CHN,30556.201
CHL,BEL,30000.58
CHN,FIN,29731.94
NLD,AUT,29633.062
KOR,DEU,29259.189
JPN,SGP,28959.154
ESP,NLD,27922.678
BOL,USA,27791.714
KOR,IND,27785.857
THA,CHN,27563.549
CHN,IRN,27478.618
BEL,FRA,27469.457
SVK,DEU,27457.222
BRA,MYS,27381.582
NOR,JPN,27294.41
FRA,CAN,27233.176
DEU,MEX,27084.537
FRA,TWN,27050.652
HKG,VNM,27017.456
RUS,IND,26968.299
MYS,HKG,26967.95
KOR,AUT,26910.481
BEL,NLD,26777.138
USA,AUS,25882.972
USA,SAU,25863.233
CAN,JPN,25861.567
USA,IND,25686.042
PHL,USA,25519.224
DEU,FIN,25373.961
TWN,VNM,25272.845
IND,DEU,25238.769
RUS,CAN,25196.197
ZAF,NLD,24908.314
BEL,TUR,24900.17
JPN,GBR,24809.312
CHN,SAU,24737.293
AUS,DEU,24529.742
CHN,SVK,24170.356
TWN,MYS,23689.184
CHN,ZAF,23440.791
JPN,NLD,23297.745
ITA,FRA,23265.669
KOR,ITA,23193.272
CHN,SRB,23065.709
BRA,CAN,22970.771
BEL,IND,22794.839
FRA,MYS,22371.487
PHL,DEU,22308.331
DEU,NOR,21997.386
USA,ITA,21725.9
IND,VNM,21718.456
NOR,SWE,21660.764
TWN,KOR,21561.343
ZAF,JPN,21001.625
KOR,PHL,20915.2
CHE,USA,20780.501
KOR,THA,20723.918
USA,HUN,20630.708
USA,TUR,20454.846
GBR,AUS,20407.303
CHL,JPN,20228.019
ESP,JPN,20098.025
BRA,KOR,20044.476
ESP,PRT,20037.226
USA,POL,19950.735
USA,BRA,19890.104
VNM,USA,19700.202
BEL,ITA,19672.502
KOR,MEX,19649.471
TUR,HUN,19529.746
POL,CHN,19325.927
ZAF,DEU,19253.605
ITA,CHN,19101.937
LAO,USA,18893.63
JPN,HKG,18883.911
CHN,ISL,18579.945
HKG,JPN,18442.382
DEU,BRA,18024.281
VNM,THA,17788.225
JPN,CHE,17639.561
TUR,CZE,17606.028
DNK,ITA,17513.079
MYS,IND,17419.758
POL,KOR,17411.83
CHN,KHM,17373.728
GBR,CHN,17294.124
FRA,CHE,17148.734
BEL,ESP,17060.127
BEL,JPN,16992.727
ESP,ITA,16968.259
DEU,AUS,16905.796
LAO,JPN,16747.472
FRA,AUT,16702.368
CHN,ISR,16342.825
ITA,HUN,16332.178
CHN,PAK,15740.642
CZE,USA,15704.864
AUS,IND,15625.084
ISL,DEU,15568.763
DEU,CAN,15565.076
NOR,KOR,15524.202
FRA,TUR,15407.932
DNK,JPN,15329.098
ESP,BRA,15317.415
KOR,SWE,15307.495
CHN,UKR,15276.852
KOR,TWN,15074.516
CHL,CHN,14812.142
EST,CHN,14809.293
MYS,POL,14787.389
JPN,CAN,14777.639
FRA,CZE,14607.22
POL,JPN,14586.193
USA,THA,14550.645
THA,VNM,14489.418
MYS,DEU,14286.028
GBR,SGP,14261.849
IND,SAU,14096.306
AUT,CZE,14048.074
CHN,ARG,14029.188
GBR,BEL,13991.096
ESP,POL,13983.989
MDG,IND,13960.87
JPN,ITA,13903.539
CAN,CHN,13885.123
VNM,CAN,13869.792
POL,FRA,13780.662
ITA,TUR,13721.353
NOR,GBR,13719.672
GBR,IND,13701.943
POL,IND,13637.808
TZA,CHN,13626.332
PHL,HKG,13599.164
NLD,POL,13427.603
ITA,GBR,13386.485
BEL,MEX,13338.461
ESP,BEL,13239.283
ZAF,KOR,13209.148
TUR,DEU,13193.002
TWN,THA,13175.158
JPN,AUS,13121.665
CHE,CZE,13095.622
ITA,MYS,13061.089
DEU,SVN,13056.823
FIN,USA,13040.799
CHN,EGY,12798.479
CHN,ROU,12720.648
BRA,AUT,12703.745
ITA,POL,12662.724
DEU,MYS,12644.643
CHN,OMN,12634.587
ESP,MEX,12590.045
HRV,ITA,12558.359
IND,CHN,12553.742
SGP,MYS,12438.473
BEL,CHN,12431.907
BRA,ITA,12379.009
GBR,NLD,12371.296
VNM,SGP,12273.794
NOR,IDN,12183.833
BEL,POL,12088.57
JPN,MEX,11924.484
AUT,USA,11904.694
EST,USA,11883.462
HUN,DEU,11880.975
CHN,LAO,11820.686
DEU,PRT,11752.242
ESP,USA,11626.747
ITA,TWN,11575.6
MEX,CHN,11511.396
KOR,NLD,11455.534
AUT,ITA,11409.415
MYS,CAN,11337.552
MEX,BRA,11278.913
VNM,DEU,11275.197
IDN,THA,11240.208
ITA,NLD,10989.311
USA,CHE,10783.814
NLD,TUR,10764.774
IND,ARE,10746.764
DEU,RUS,10727.9
PHL,FRA,10699.287
CHL,POL,10690.712
CAN,ITA,10688.342
DEU,THA,10668.363
ZAF,FRA,10546.067
ITA,ROU,10537.45
FRA,MEX,10505.408
ZAF,TUR,10466.317
NLD,CZE,10412.349
CZE,SVK,10320.768
TWN,DEU,10319.28
AUT,ROU,10253.209
BEL,GBR,10179.908
FRA,FIN,10148.893
TUR,USA,10106.901
NOR,POL,10088.985
HKG,CHN,10077.493
NLD,IND,10006.796
SGP,JPN,10005.369
IRL,CHN,9949.683
VNM,FRA,9874.928
NLD,BRA,9865.147
CHE,HUN,9830.188
GBR,MKD,9785.183
CAN,BEL,9773.692
FRA,ZAF,9760.215
NLD,RUS,9737.928
TUR,CHN,9701.402
USA,ZAF,9692.088
SWE,FRA,9645.699
TUR,KGZ,9630.143
NLD,CHE,9515.097
SGP,KOR,9501.635
CHN,ZWE,9484.809
USA,CZE,9470.625
GBR,CAN,9430.374
IND,TUR,9424.011
RUS,EST,9372.9
BIH,ITA,9332.34
GBR,TUR,9318.491
NOR,ISL,9310.959
CHN,COL,9275.598
IDN,PHL,9269.632
BRA,ARG,9258.703
NLD,JPN,9256.307
BRA,POL,9244.609
POL,DNK,9159.872
USA,KAZ,9119.813
IND,JPN,9106.779
BIH,DEU,9074.755
CHN,BGD,9021.348
EST,JPN,9019.882
ZAF,MYS,9008.879
PHL,THA,8988.763
CHN,PRT,8974.088
ZAF,BRA,8959.965
THA,MYS,8926.346
CZE,HUN,8874.36
CZE,POL,8835.639
THA,IND,8798.072
NOR,IRL,8789.905
VNM,ITA,8783.482
JPN,BEL,8763.535
NLD,DNK,8606.117
BOL,BRA,8599.312
ITA,KOR,8585.462
VNM,KOR,8567.146
MDG,CHN,8537.336
ZAF,IND,8532.784
HUN,AUT,8507.594
KOR,NOR,8471.843
KOR,SGP,8370.0
SGP,PHL,8318.285
CZE,SWE,8314.106
MYS,ESP,8279.196
ZAF,AUS,8224.363
CHE,FRA,8205.031
USA,ARE,8129.871
SWE,GBR,8065.97
FRA,HUN,8032.142
HKG,HUN,7955.796
MOZ,IND,7915.334
BRA,BEL,7769.809
SWE,NLD,7618.193
THA,MEX,7614.16
DNK,DEU,7597.894
ITA,CZE,7596.033
CAN,MYS,7561.767
GBR,POL,7553.915
NLD,TWN,7548.123
KOR,SVN,7461.405
VNM,IND,7392.566
POL,HUN,7337.535
IDN,USA,7279.724
SVN,DEU,7230.805
DEU,GRC,7211.758
RUS,JPN,7203.294
BEL,CAN,7139.502
POL,CZE,7131.205
USA,FIN,7088.569
CHN,MMR,7063.595
DEU,SAU,7036.368
CAN,AUS,7030.22
USA,COL,7026.339
ZAF,POL,7013.389
HKG,MYS,6996.813
JPN,ROU,6988.122
DEU,BGR,6951.83
BEL,AUS,6949.967
ITA,JPN,6932.859
DEU,ZAF,6905.096
CHL,CAN,6902.0
USA,HKG,6887.545
ITA,AUT,6886.442
NLD,EGY,6845.646
JPN,BRA,6793.79
ESP,SWE,6784.109
GBR,AUT,6772.043
IDN,IND,6764.266
USA,ARG,6744.36
VNM,MYS,6719.102
BOL,ITA,6709.317
CZE,CHN,6678.126
SGP,DEU,6675.489
CZE,ITA,6673.045
CHE,JPN,6660.703
VNM,MEX,6611.789
DNK,TWN,6610.815
NOR,SAU,6610.147
AUS,POL,6584.934
ITA,MEX,6542.557
SGP,USA,6513.291
SWE,JPN,6481.848
NOR,FIN,6422.028
POL,ROU,6408.829
CAN,TWN,6366.828
DEU,KAZ,6366.078
MYS,NLD,6359.232
SWE,BEL,6346.816
CHN,NGA,6299.383
TUR,MEX,6293.262
TWN,NLD,6287.853
IDN,CHN,6279.63
BRA,FRA,6271.36
GBR,IRL,6246.58
USA,PHL,6245.876
FRA,BRA,6229.932
CHN,MAR,6220.451
CHL,NLD,6203.522
USA,AUT,6184.299
THA,CZE,6141.674
IND,ITA,6133.603
SGP,IDN,6117.628
BIH,POL,6117.024
GBR,ITA,6099.175
DNK,AUS,6058.555
GBR,KOR,6050.962
IND,POL,6015.443
USA,IDN,6002.674
SVN,HUN,5999.785
JPN,HUN,5989.572
CAN,CHE,5981.227
KGZ,ZAF,5977.034
SWE,IND,5964.306
NOR,IND,5960.515
TUR,FIN,5950.626
MYS,KOR,5948.3
BRA,COL,5938.434
CHN,UZB,5920.67
HKG,MEX,5917.488
MOZ,DEU,5882.47
SVK,CZE,5868.034
MDG,USA,5861.845
IRN,TUR,5835.094
BEL,KOR,5834.802
FRA,PRT,5813.728
CHN,BGR,5790.022
TUR,IND,5777.964
FRA,AUS,5770.644
GRC,CYP,5763.815
USA,ISR,5746.067
SVK,NOR,5709.84
NLD,GRC,5705.2
FRA,IDN,5695.357
KOR,BRA,5691.122
NOR,CAN,5676.793
USA,NOR,5640.671
KOR,TUR,5624.764
IRL,GBR,5571.859
MEX,CAN,5533.049
CHN,GRC,5524.297
CHN,NZL,5512.794
CHN,CHL,5510.045
MOZ,USA,5476.402
ESP,KAZ,5468.187
AUT,NLD,5413.88
POL,ARE,5404.788
SWE,DNK,5394.001
CHN,IRL,5373.065
DEU,SRB,5371.041
MOZ,AUT,5369.396
BEL,SWE,5351.184
BRA,MEX,5323.039
GEO,USA,5315.073
KOR,HKG,5275.127
SWE,DEU,5274.107
FRA,ROU,5267.373
FRA,SVK,5264.558
KOR,CHE,5246.907
SWE,FIN,5209.006
IND,OMN,5170.093
CZE,ESP,5158.222
NOR,CHN,5156.877
NZL,JPN,5139.718
ESP,CZE,5133.608
MDG,DEU,5132.766
IND,BTN,5079.206
NLD,CAN,5071.765
AUT,CHN,5056.339
MYS,FRA,5034.874
POL,AUT,5030.783
RUS,POL,5013.654
TZA,IND,5012.002
CHL,IND,4981.081
THA,KOR,4972.128
CHE,NLD,4964.122
MOZ,IDN,4933.212
JPN,ZAF,4929.613
DEU,GEO,4924.999
DEU,ISR,4922.966
MYS,PHL,4915.293
BRA,SGP,4914.893
THA,SGP,4890.107
GBR,HUN,4889.936
CZE,AUT,4886.234
SGP,IND,4880.977
SVK,POL,4879.724
UZB,KWT,4865.051
FIN,BEL,4848.425
POL,PHL,4835.199
FRA,NOR,4818.915
USA,CHL,4758.56
DEU,ARE,4756.728
HKG,USA,4756.713
CHE,ITA,4752.066
HRV,DEU,4748.98
CHE,AUT,4744.69
SWE,CZE,4701.362
CHE,ISR,4685.3
BRA,NOR,4663.386
NLD,ISR,4634.378
USA,DOM,4618.901
USA,CRI,4602.803
USA,OMN,4588.985
THA,KHM,4563.452
ITA,CAN,4558.907
CHN,TUN,4552.043
NLD,HUN,4548.13
CZE,GBR,4546.886
CHN,PER,4545.776
NOR,ESP,4542.981
FRA,SWE,4540.309
ROU,CZE,4538.009
NLD,AUS,4524.078
TWN,PHL,4514.314
DEU,MKD,4509.41
SWE,USA,4498.609
NOR,MYS,4493.793
SWE,POL,4472.396
VNM,IDN,4466.688
GBR,BRA,4466.244
CHN,MKD,4417.419
USA,PER,4403.429
NLD,NOR,4376.972
AUT,ESP,4375.234
TWN,HKG,4371.617
MOZ,TUR,4367.657
ROU,ITA,4315.426
CAN,IDN,4312.944
FRA,TUN,4295.842
CZE,ROU,4289.228
ITA,CHE,4283.304
AGO,USA,4263.152
NLD,PRT,4238.591
MYS,SGP,4230.178
HRV,POL,4198.596
SVK,USA,4195.653
AUT,FRA,4171.746
ITA,BRA,4168.699
TWN,IND,4152.74
ESP,NOR,4147.825
MYS,CHE,4142.007
AUT,SRB,4131.348
SVN,KOR,4130.874
LTU,USA,4112.174
FRA,BHR,4105.953
JPN,MKD,4105.708
BEL,AUT,4090.895
ESP,ROU,4083.783
ITA,BEL,4083.407
NLD,ROU,4068.488
VNM,BRA,4063.631
SGP,TWN,4048.646
GBR,CZE,4041.092
IND,GBR,4036.947
CHN,EST,4034.434
BGR,DEU,4033.538
FRA,MKD,4022.616
TUR,UZB,4005.601
CAN,MEX,3970.768
MOZ,CHN,3960.095
ZAF,ZMB,3956.925
ITA,IND,3942.904
ISR,NLD,3907.827
IND,BGD,3878.211
CAN,BRA,3875.389
BEL,BRA,3866.377
HUN,KOR,3860.97
NLD,FIN,3831.742
TWN,BEL,3823.401
DNK,KOR,3818.993
TWN,ITA,3795.658
PHL,IND,3791.839
ZAF,MOZ,3783.356
EST,GBR,3771.618
MYS,KHM,3761.059
USA,NZL,3753.667
ISR,USA,3732.772
MDG,TUR,3728.536
CZE,FRA,3720.768
CHE,KOR,3704.468
CAN,THA,3696.889
CHE,GBR,3658.389
ITA,PRT,3656.929
POL,ITA,3629.181
AUT,IND,3627.793
IND,KOR,3622.284
TWN,SGP,3611.713
GBR,TWN,3608.724
USA,IRL,3592.164
DEU,EST,3591.526
GBR,ARE,3583.295
BEL,UZB,3564.694
USA,QAT,3527.143
BRA,IND,3525.379
DEU,IRL,3511.822
DEU,LUX,3510.427
ZAF,FIN,3498.177
ESP,KOR,3483.607
SWE,NOR,3457.014
ARE,MYS,3450.646
MEX,DEU,3434.377
PHL,BEL,3411.119
PHL,SRB,3409.879
EST,DEU,3405.207
SVK,AUT,3399.229
MDG,BEL,3394.457
POL,NLD,3381.891
TWN,CAN,3375.04
GBR,PHL,3374.522
CHL,GBR,3374.244
JPN,CZE,3350.995
THA,PHL,3337.7
VNM,HKG,3336.554
SVN,CHE,3331.828
UKR,DEU,3325.288
AUT,POL,3324.51
ROU,JPN,3293.859
MEX,ESP,3291.9
ITA,PHL,3285.329
ITA,SAU,3274.273
HUN,GBR,3251.975
NLD,IRL,3220.255
AUS,TWN,3218.178
NLD,MEX,3217.679
NLD,SVK,3197.997
DEU,COL,3196.197
NOR,NCL,3190.99
NGA,CHN,3175.59
TUR,DZA,3150.247
THA,HKG,3138.605
CAN,IND,3135.104
KGZ,GBR,3123.993
IND,THA,3111.967
UZB,RUS,3101.368
ITA,ARE,3100.839
PHL,VNM,3093.276
IND,BEL,3080.486
THA,ESP,3077.707
CHL,BRA,3064.054
FRA,ARE,3035.908
MEX,PHL,3027.603
IRL,USA,3025.528
ARE,TGO,3022.222
JPN,SWE,3018.528
IRL,ITA,3005.801
POL,ESP,3002.939
CHN,IRQ,3002.853
MAR,CHN,2998.952
LUX,FRA,2988.264
VNM,MMR,2988.219
IDN,VNM,2968.766
USA,SWE,2959.742
ITA,GRC,2948.208
EST,FRA,2918.439
USA,BHS,2910.083
FIN,SWE,2903.587
CZE,KOR,2903.422
DNK,NLD,2897.569
CHE,SGP,2885.142
TUR,RUS,2883.914
FIN,CHE,2875.616
ISL,BEL,2863.235
BHR,IND,2858.668
SGP,AUS,2858.078
AGO,BEL,2847.846
TUR,AZE,2840.491
THA,GBR,2840.063
AUS,NZL,2832.093
HKG,DEU,2814.116
BEL,LVA,2814.01
ESP,TUR,2803.15
NLD,LUX,2780.684
ISR,CHN,2778.997
CHL,TUR,2776.571
BEL,SGP,2772.285
KOR,DNK,2767.183
EST,ESP,2752.733
AUT,GBR,2745.512
ITA,SVN,2743.105
DNK,SWE,2743.044
AUT,SWE,2707.485
SWE,KOR,2684.889
EST,THA,2672.188
IND,BRA,2668.854
POL,FIN,2668.398
AUT,CHE,2667.603
GBR,SAU,2663.96
CHE,VNM,2659.692
TUR,NLD,2652.635
FRA,LUX,2651.082
KAZ,TUR,2645.385
USA,IRQ,2639.461
ARG,NLD,2627.975
POL,UKR,2624.867
CHN,DZA,2608.524
POL,TUR,2599.29
ROU,SVK,2594.623
CHN,MOZ,2588.965
FIN,NLD,2561.824
BEL,ISR,2559.795
SWE,BRA,2555.76
CHN,LTU,2543.096
FIN,EST,2536.371
KOR,CZE,2536.129
BRA,ESP,2533.556
BRA,SAU,2528.819
NGA,GBR,2524.819
DEU,HKG,2519.373
LAO,ESP,2514.748
PRT,FRA,2504.866
UZB,CHN,2500.463
CAN,ESP,2497.298
MYS,GBR,2483.82
SVN,FRA,2483.81
CHN,BLR,2483.165
GBR,IDN,2482.539
CHE,BEL,2479.478
HKG,PHL,2469.817
ESP,AUT,2459.561
BEL,HUN,2436.819
NOR,TWN,2433.16
AUT,JPN,2425.126
ARG,CHN,2418.294
NLD,ARE,2417.327
ROU,MEX,2411.226
CAN,TUR,2408.648
MYS,MEX,2407.667
FIN,DEU,2395.996
CHN,PAN,2394.058
DNK,USA,2393.022
LTU,NLD,2391.868
HUN,SGP,2364.539
CZE,IND,2362.643
MDG,ESP,2361.17
LVA,USA,2360.272
POL,ZAF,2359.218
ISL,ITA,2352.946
CHE,IDN,2352.69
DEU,EGY,2343.395
BEL,CHE,2343.121
GBR,ISR,2341.927
MYS,TWN,2338.886
BRA,TWN,2336.789
KAZ,GBR,2334.858
SVN,ITA,2334.784
CZE,SAU,2333.824
ZAF,TWN,2299.417
TWN,MEX,2291.441
DEU,IDN,2289.376
ZAF,ZWE,2278.424
IDN,POL,2263.378
MEX,JPN,2259.583
FRA,GRC,2255.165
CZE,CHE,2237.768
TUN,CHN,2229.208
ZAF,SGP,2221.903
NLD,SAU,2216.833
CHN,HRV,2188.441
FRA,SRB,2188.402
POL,LTU,2186.564
ROU,HUN,2185.808
CHL,ZAF,2172.837
KAZ,LVA,2172.005
AUS,TUR,2164.105
TUR,BEN,2154.094
KHM,CHN,2145.356
ITA,ISR,2141.426
GBR,DNK,2136.154
TUR,KAZ,2134.027
CZE,NLD,2129.617
ITA,HRV,2128.937
NLD,ZAF,2128.769
ARE,PAK,2118.581
ARM,USA,2105.353
BEL,CZE,2105.238
FRA,SAU,2102.616
ESP,MAR,2099.346
AUT,THA,2095.847
DEU,HRV,2092.98
UZB,USA,2092.926
PER,IND,2089.864
FIN,JPN,2082.478
MYS,BGD,2077.118
HUN,ROU,2075.62
CHN,DOM,2075.608
SGP,ISR,2063.073
FRA,MAR,2059.378
NOR,TUR,2053.288
KOR,FRA,2042.928
DEU,ARG,2042.611
NLD,SGP,2034.064
ARG,GBR,2032.466
RUS,ZAF,2031.131
RUS,EGY,2027.261
KOR,GBR,2027.236
EST,ZAF,2025.515
DEU,UKR,2023.332
CHN,CRI,2013.712
ZAF,GBR,2003.49
PHL,MEX,2003.069
SVN,CHN,1998.165
POL,GRC,1997.927
TWN,IDN,1994.066
CHE,SWE,1990.81
AUT,BEL,1973.757
MYS,CZE,1972.85
CHN,KGZ,1968.923
KOR,AUS,1963.822
UKR,CHE,1960.95
IRL,DEU,1959.771
MAR,LBR,1956.791
KAZ,NLD,1944.615
MEX,GTM,1942.717
USA,EGY,1935.623
POL,BEL,1932.894
BRA,TUR,1926.447
FRA,MOZ,1913.894
BOL,ARG,1911.803
IND,MYS,1907.187
MOZ,SVN,1906.243
DEU,PHL,1902.525
CHN,BIH,1898.124
IND,HKG,1897.677
GBR,FIN,1894.466
BEL,NOR,1894.191
GBR,NOR,1891.454
ITA,ARG,1890.65
LUX,KOR,1881.392
AUT,SVN,1876.797
ROU,CHN,1872.942
KAZ,DEU,1863.177
TJK,ZAF,1862.385
ISR,AUS,1853.459
OMN,IND,1852.424
IND,IDN,1846.102
BIH,CZE,1838.96
FRA,DNK,1823.941
SRB,DEU,1823.155
TUR,KOR,1822.439
MEX,NLD,1819.146
AZE,RUS,1818.856
SAU,USA,1805.89
TUR,ROU,1799.967
ROU,USA,1795.577
FRA,IRL,1791.103
LKA,JPN,1790.929
DEU,MOZ,1788.744
BEL,DNK,1781.734
FIN,DNK,1780.165
FRA,SGP,1778.942
ITA,SWE,1774.191
ARM,BEL,1773.094
PHL,CAN,1772.356
TWN,FRA,1769.362
BIH,HRV,1760.871
SGP,VNM,1756.391
NLD,THA,1754.908
JPN,OMN,1754.42
HUN,FRA,1752.208
NOR,EGY,1751.956
GBR,MEX,1748.228
ITA,AUS,1745.857
CHE,THA,1743.382
AUS,ITA,1737.435
KOR,CAN,1722.931
POL,GEO,1719.971
DNK,NOR,1717.668
BIH,HUN,1710.305
MAR,USA,1710.023
NZL,KOR,1707.37
TUN,FRA,1707.023
